team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
BUF,2009,BUF,2009030131,BUF,BOS,HOME,20100415,Team Level,other,0.034,0.3333,0.2,267.0,0.71,0.01,0.04,0.25,0.034,0.349,0.317,0.009,0.01,0.009,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,6.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.009,0.0,0.0,0.019,0.019,0.018,2.623,0.284,0.149,0.575,0.092,1.688,1.213,0.284,0.284,0.284,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,1.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.071,0.213,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.046,0.0,0.0,0.33,0.33,0.33
BUF,2009,BUF,2009030131,BUF,BOS,HOME,20100415,Team Level,all,0.4589,0.4711,0.4505,3600.0,29.127,2.64,2.157,6.326,0.972,17.271,11.635,2.572,2.63,2.563,32.0,9.0,16.0,57.0,2.0,0.0,0.0,2.0,0.0,18.0,19.0,30.0,39.0,6.0,12.0,24.0,41.0,14.0,13.0,29.0,12.0,0.0,1.133,1.506,0.0,1.0,1.0,0.0,57.64,41.0,41.78,6.0,0.474,0.0,0.0,3.114,3.102,3.021,35.065,3.113,2.374,7.615,1.185,20.356,15.357,3.059,3.155,3.099,39.0,11.0,14.0,64.0,1.0,2.0,1.0,7.0,0.0,19.0,21.0,38.0,49.0,9.0,18.0,30.0,25.0,5.0,4.0,40.0,9.0,1.0,1.417,0.91,0.787,0.0,0.0,1.0,63.587,50.0,49.535,2.0,0.519,0.823,0.823,2.809,2.858,2.797
BUF,2009,BUF,2009030131,BUF,BOS,HOME,20100415,Team Level,5on5,0.4776,0.4536,0.4265,2748.0,20.923,1.767,1.495,4.517,0.664,11.901,8.655,1.741,1.758,1.732,22.0,7.0,15.0,44.0,2.0,0.0,0.0,2.0,0.0,12.0,13.0,20.0,27.0,3.0,6.0,18.0,38.0,11.0,10.0,22.0,7.0,0.0,0.802,0.966,0.0,1.0,1.0,0.0,44.64,29.0,29.78,5.0,0.308,0.0,0.0,2.075,2.064,2.033,27.422,1.933,1.909,6.202,0.959,16.046,11.951,1.886,1.975,1.926,31.0,8.0,14.0,53.0,0.0,1.0,0.0,7.0,0.0,14.0,17.0,31.0,39.0,7.0,14.0,25.0,18.0,4.0,4.0,32.0,7.0,0.0,1.237,0.697,0.0,0.0,0.0,0.0,52.587,39.0,38.535,2.0,0.39,0.036,0.036,2.287,2.336,2.275
BUF,2009,BUF,2009030131,BUF,BOS,HOME,20100415,Team Level,4on5,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.527,0.813,0.268,0.561,0.092,2.188,1.077,0.806,0.813,0.806,3.0,2.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,0.026,0.0,0.787,0.0,0.0,1.0,5.0,5.0,5.0,0.0,0.072,0.787,0.787,0.099,0.099,0.098
BUF,2009,BUF,2009030131,BUF,BOS,HOME,20100415,Team Level,5on4,0.9122,0.8462,0.8462,419.0,7.495,0.862,0.622,1.559,0.274,5.02,2.663,0.822,0.862,0.822,9.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,9.0,11.0,0.0,0.0,4.0,1.0,1.0,2.0,6.0,5.0,0.0,0.321,0.541,0.0,0.0,0.0,0.0,11.0,11.0,11.0,1.0,0.157,0.0,0.0,1.019,1.019,0.97,1.494,0.083,0.048,0.278,0.041,0.434,1.117,0.083,0.083,0.083,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.01,0.0,0.0,0.093,0.093,0.093
BUF,2009,BUF,2009030132,BUF,BOS,HOME,20100417,Team Level,other,0.1893,0.4286,0.75,177.0,2.346,0.213,0.198,0.456,0.082,1.326,0.725,0.203,0.213,0.203,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.029,0.184,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.047,0.0,0.094,0.166,0.166,0.165,0.777,0.912,0.011,0.007,0.005,0.035,0.03,0.912,0.912,0.912,1.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.912,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.002,0.0,0.0,0.914,0.914,0.914
BUF,2009,BUF,2009030132,BUF,BOS,HOME,20100417,Team Level,all,0.4759,0.4333,0.4783,3600.0,31.936,2.846,1.977,7.239,1.07,17.168,13.699,2.759,2.822,2.734,29.0,15.0,8.0,52.0,3.0,2.0,0.0,7.0,0.0,11.0,21.0,26.0,41.0,2.0,4.0,31.0,48.0,9.0,26.0,29.0,12.0,3.0,0.807,1.326,0.713,2.0,1.0,0.0,52.039,44.0,44.262,9.0,0.429,0.402,0.402,2.874,2.84,2.809,31.822,3.134,1.94,7.193,1.095,18.805,15.832,3.122,3.187,3.175,31.0,17.0,20.0,68.0,5.0,0.0,0.0,7.0,0.0,17.0,19.0,26.0,43.0,4.0,8.0,35.0,51.0,6.0,10.0,40.0,7.0,1.0,1.473,0.75,0.912,2.0,2.0,1.0,67.858,48.0,47.643,7.0,0.402,0.0,0.0,3.536,3.595,3.58
BUF,2009,BUF,2009030132,BUF,BOS,HOME,20100417,Team Level,5on5,0.5186,0.4343,0.4545,2901.0,25.347,2.259,1.482,5.994,0.824,13.283,11.157,2.191,2.234,2.166,22.0,13.0,8.0,43.0,3.0,2.0,0.0,4.0,0.0,9.0,17.0,19.0,32.0,2.0,4.0,22.0,44.0,9.0,21.0,24.0,8.0,3.0,0.593,0.953,0.713,2.0,1.0,0.0,43.039,35.0,35.262,8.0,0.31,0.402,0.308,2.261,2.227,2.21,28.275,2.097,1.671,6.798,0.991,17.204,13.239,2.085,2.15,2.138,26.0,16.0,14.0,56.0,4.0,0.0,0.0,5.0,0.0,16.0,17.0,22.0,38.0,3.0,6.0,27.0,48.0,3.0,9.0,35.0,7.0,0.0,1.347,0.75,0.0,2.0,2.0,0.0,55.858,42.0,41.643,6.0,0.341,0.0,0.0,2.438,2.498,2.483
BUF,2009,BUF,2009030132,BUF,BOS,HOME,20100417,Team Level,4on5,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.02,0.181,0.231,0.042,1.014,0.512,0.02,0.02,0.02,2.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,0.041,0.0,0.0,0.061,0.061,0.061
BUF,2009,BUF,2009030132,BUF,BOS,HOME,20100417,Team Level,5on4,0.7813,0.6,0.6667,381.0,4.243,0.375,0.297,0.788,0.164,2.559,1.817,0.364,0.375,0.364,5.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,5.0,6.0,0.0,0.0,4.0,1.0,0.0,4.0,4.0,2.0,0.0,0.185,0.189,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.072,0.0,0.0,0.447,0.447,0.434,1.42,0.105,0.077,0.157,0.057,0.552,2.052,0.105,0.105,0.105,2.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,4.0,2.0,1.0,0.0,3.0,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.017,0.0,0.0,0.123,0.123,0.123
BUF,2009,BUF,2009030133,BUF,BOS,AWAY,20100419,Team Level,other,0.7878,0.6667,0.8,175.0,2.453,0.245,0.138,0.379,0.072,1.269,1.897,0.241,0.245,0.241,2.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,4.0,1.0,5.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.04,0.0,0.205,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.041,0.0,0.0,0.286,0.286,0.281,0.714,0.066,0.038,0.128,0.023,0.309,0.437,0.066,0.066,0.066,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.066,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.009,0.0,0.0,0.074,0.074,0.074
BUF,2009,BUF,2009030133,BUF,BOS,AWAY,20100419,Team Level,all,0.3526,0.469,0.4588,3600.0,28.306,1.205,1.419,6.865,0.831,15.827,12.853,1.199,1.249,1.242,33.0,6.0,14.0,53.0,1.0,0.0,0.0,10.0,2.0,13.0,13.0,32.0,38.0,5.0,13.0,22.0,39.0,3.0,8.0,36.0,2.0,1.0,0.717,0.283,0.205,1.0,0.0,0.0,54.442,39.0,39.968,1.0,0.305,0.0,0.0,1.51,1.564,1.556,33.191,2.212,2.01,7.539,1.04,18.263,14.936,2.201,2.131,2.12,29.0,17.0,14.0,60.0,2.0,0.0,0.0,9.0,0.0,15.0,20.0,27.0,44.0,6.0,15.0,31.0,38.0,7.0,5.0,36.0,10.0,0.0,1.009,1.203,0.0,1.0,1.0,0.0,58.5,46.0,44.831,3.0,0.418,0.0,0.0,2.63,2.533,2.52
BUF,2009,BUF,2009030133,BUF,BOS,AWAY,20100419,Team Level,5on5,0.3212,0.4468,0.4366,2859.0,22.834,0.932,1.115,5.784,0.669,12.646,9.855,0.929,0.975,0.973,28.0,3.0,11.0,42.0,1.0,0.0,0.0,8.0,1.0,11.0,10.0,27.0,30.0,4.0,8.0,13.0,35.0,2.0,4.0,29.0,2.0,0.0,0.649,0.283,0.0,1.0,0.0,0.0,43.442,31.0,31.968,1.0,0.224,0.0,0.0,1.156,1.21,1.207,29.203,1.97,1.76,6.74,0.905,16.012,12.613,1.959,1.888,1.878,25.0,15.0,12.0,52.0,1.0,0.0,0.0,8.0,0.0,13.0,18.0,24.0,39.0,3.0,6.0,26.0,36.0,6.0,5.0,30.0,10.0,0.0,0.766,1.203,0.0,0.0,1.0,0.0,50.5,40.0,38.831,3.0,0.358,0.0,0.0,2.328,2.231,2.218
BUF,2009,BUF,2009030133,BUF,BOS,AWAY,20100419,Team Level,4on5,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.813,0.147,0.173,0.43,0.068,1.49,0.692,0.147,0.147,0.147,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.147,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.041,0.0,0.0,0.188,0.188,0.188
BUF,2009,BUF,2009030133,BUF,BOS,AWAY,20100419,Team Level,5on4,0.4915,0.7,0.6667,343.0,3.019,0.029,0.165,0.703,0.09,1.912,1.101,0.029,0.029,0.029,3.0,1.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,4.0,0.0,0.0,3.0,1.0,0.0,4.0,4.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,7.0,4.0,4.0,0.0,0.039,0.0,0.0,0.068,0.068,0.068,1.46,0.03,0.039,0.24,0.045,0.452,1.194,0.03,0.03,0.03,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.01,0.0,0.0,0.039,0.039,0.039
BUF,2009,BUF,2009030134,BUF,BOS,AWAY,20100421,Team Level,other,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUF,2009,BUF,2009030134,BUF,BOS,AWAY,20100421,Team Level,all,0.3729,0.4552,0.4554,5261.0,34.211,2.477,1.863,8.902,1.23,16.219,15.309,2.41,2.661,2.589,37.0,9.0,20.0,66.0,2.0,3.0,1.0,7.0,0.0,9.0,25.0,35.0,44.0,6.0,15.0,35.0,46.0,6.0,8.0,35.0,9.0,2.0,0.919,0.914,0.644,1.0,0.0,1.0,70.667,46.0,49.034,3.0,0.389,0.789,0.866,2.0,2.139,2.131,40.453,4.165,2.631,9.551,1.379,20.821,16.453,4.046,3.996,3.88,39.0,16.0,24.0,79.0,3.0,4.0,1.0,7.0,1.0,20.0,20.0,36.0,52.0,3.0,9.0,33.0,49.0,10.0,8.0,36.0,15.0,4.0,0.876,2.122,1.167,1.0,1.0,1.0,74.94,55.0,52.376,4.0,0.585,0.971,1.217,3.534,3.373,3.355
BUF,2009,BUF,2009030134,BUF,BOS,AWAY,20100421,Team Level,5on5,0.4911,0.504,0.5057,4565.0,33.104,2.452,1.834,8.73,1.193,15.985,13.806,2.385,2.636,2.564,35.0,9.0,19.0,63.0,2.0,3.0,1.0,7.0,0.0,9.0,23.0,33.0,42.0,6.0,15.0,29.0,43.0,6.0,7.0,33.0,9.0,2.0,0.894,0.914,0.644,1.0,0.0,1.0,67.667,44.0,47.034,3.0,0.382,0.789,0.866,1.969,2.107,2.099,31.509,2.541,1.878,7.722,1.052,16.962,12.844,2.474,2.372,2.308,31.0,12.0,19.0,62.0,1.0,2.0,0.0,6.0,0.0,18.0,16.0,30.0,42.0,2.0,7.0,27.0,47.0,9.0,7.0,32.0,9.0,2.0,0.774,1.232,0.535,1.0,0.0,0.0,57.94,43.0,40.376,4.0,0.392,0.535,0.535,2.399,2.238,2.224
